release_period,state,facility_id,completed_surveys,response_rate
2015,AZ,30061,300 or more,36
2015,AZ,30062,300 or more,21
2015,AZ,30064,300 or more,25
2015,AZ,30065,300 or more,30
2015,AZ,30068,Between 100 and 299,37
2015,AZ,30069,300 or more,34
2015,AZ,30071,Between 100 and 299,15
2015,AZ,30073,Between 100 and 299,40
2015,AZ,30077,Fewer than 100,77
2015,AZ,30078,300 or more,26
2015,AZ,30083,300 or more,28
2015,AZ,30084,Between 100 and 299,13
2015,AZ,30085,300 or more,31
2015,AZ,30087,300 or more,30
2015,AZ,30088,300 or more,33
2015,AZ,30089,300 or more,28
2015,AZ,30092,300 or more,28
2015,AZ,30093,300 or more,30
2015,AZ,30094,300 or more,32
2015,AZ,30101,300 or more,33
2015,AZ,30103,300 or more,37
2015,AZ,30105,300 or more,37
2015,AZ,30107,300 or more,59
2015,AZ,30108,300 or more,49
2015,AZ,30110,300 or more,28
2015,AZ,30111,300 or more,20
2015,AZ,30112,Between 100 and 299,56
2015,AZ,30113,Fewer than 100,24
2015,AZ,30114,300 or more,36
2015,AZ,30115,300 or more,30
2015,AZ,30117,300 or more,28
2015,AZ,30118,300 or more,30
2015,AZ,30119,300 or more,25
2015,AZ,30120,Fewer than 100,21
2015,AZ,30121,300 or more,25
2015,AZ,30122,300 or more,31
2015,AZ,30123,300 or more,35
2015,AZ,30130,300 or more,30
2015,AZ,30131,300 or more,54
2015,AZ,30132,Fewer than 100,23
2015,AZ,30134,Between 100 and 299,30
2015,AZ,31300,Between 100 and 299,44
2015,AZ,31301,Fewer than 100,38
2015,AZ,31302,Fewer than 100,29
2015,AZ,31304,Between 100 and 299,30
2015,AZ,31312,Fewer than 100,27
2015,AZ,31313,Between 100 and 299,24
2015,AZ,31314,Between 100 and 299,32
2015,AZ,31315,Fewer than 100,30
2015,AZ,31317,Between 100 and 299,31
2015,AR,40001,300 or more,32
2015,AR,40002,Between 100 and 299,21
2015,AR,40004,300 or more,35
2015,AR,40007,300 or more,34
2015,AR,40010,300 or more,36
2015,AR,40011,Between 100 and 299,19
2015,AR,40014,300 or more,35
2015,AR,40015,Between 100 and 299,22
2015,AR,40016,300 or more,19
2015,AR,40017,300 or more,26
2015,AR,40018,Between 100 and 299,26
2015,AR,40019,300 or more,26
2015,AR,40020,300 or more,30
2015,AR,40022,300 or more,32
2015,AR,40026,300 or more,34
2015,AR,40027,300 or more,31
2015,AR,40029,300 or more,27
2015,AR,40036,300 or more,28
2015,AR,40039,300 or more,27
2015,AR,40041,300 or more,33
2015,AR,40047,Between 100 and 299,33
2015,AR,40050,300 or more,30
2015,AR,40051,300 or more,17
2015,AR,40055,300 or more,26
2015,AR,40062,300 or more,35
2015,AR,40067,Between 100 and 299,26
2015,AR,40069,Between 100 and 299,14
2015,AR,40071,300 or more,27
2015,AR,40072,Between 100 and 299,24
2015,AR,40074,Between 100 and 299,27
2015,AR,40076,Between 100 and 299,23
2015,AR,40078,300 or more,34
2015,AR,40080,Between 100 and 299,24
2015,AR,40084,300 or more,30
2015,AR,40085,300 or more,28
2015,AR,40088,300 or more,31
2015,AR,40114,300 or more,27
2015,AR,40118,300 or more,30
2015,AR,40119,300 or more,27
2015,AR,40134,300 or more,41
2015,AR,40137,300 or more,30
2015,AR,40147,300 or more,58
2015,AR,40152,Between 100 and 299,46
2015,AR,40153,Between 100 and 299,30
2015,AR,41302,Fewer than 100,35
2015,AR,41304,Fewer than 100,27
2015,AR,41306,Fewer than 100,33
2015,AR,41307,Between 100 and 299,41
2015,AR,41308,Fewer than 100,17
2015,AR,41309,Fewer than 100,33
2015,AR,41311,Fewer than 100,24
2015,AR,41312,Between 100 and 299,35
2015,AR,41313,Fewer than 100,26
2015,AR,41314,Between 100 and 299,37
2015,AR,41316,Between 100 and 299,23
2015,AR,41318,Fewer than 100,29
2015,AR,41321,Between 100 and 299,24
2015,AR,41322,Between 100 and 299,28
2015,AR,41323,Between 100 and 299,23
2015,AR,41326,Fewer than 100,17
2015,AR,41327,Between 100 and 299,18
2015,AR,41328,Between 100 and 299,17
2015,AR,41329,Between 100 and 299,35
2015,CA,50002,300 or more,22
2015,CA,50006,300 or more,31
2015,CA,50007,300 or more,33
2015,CA,50008,300 or more,27
2015,CA,50009,300 or more,31
2015,CA,50013,300 or more,34
2015,CA,50014,300 or more,29
2015,CA,50017,300 or more,35
2015,CA,50018,300 or more,16
2015,CA,50022,300 or more,31
2015,CA,50024,300 or more,14
2015,CA,50025,300 or more,27
2015,CA,50026,300 or more,24
2015,CA,50028,300 or more,24
2015,CA,50030,300 or more,30
2015,CA,50036,300 or more,19
2015,CA,50038,Between 100 and 299,26
2015,CA,50039,300 or more,28
2015,CA,50040,300 or more,24
2015,CA,50042,300 or more,25
2015,CA,50043,300 or more,25
2015,CA,50045,300 or more,17
2015,CA,50047,300 or more,31
2015,CA,50054,300 or more,28
2015,CA,50055,300 or more,20
2015,CA,50056,300 or more,35
2015,CA,50057,300 or more,26
2015,CA,50058,300 or more,17
2015,CA,50060,300 or more,30
2015,CA,50063,300 or more,13
2015,CA,50067,Between 100 and 299,28
2015,CA,50069,300 or more,34
2015,CA,50070,300 or more,36
2015,CA,50071,300 or more,34
2015,CA,50072,300 or more,33
2015,CA,50073,300 or more,29
2015,CA,50075,300 or more,31
2015,CA,50076,300 or more,37
2015,CA,50077,300 or more,22
2015,CA,50078,300 or more,22
2015,CA,50079,300 or more,22
2015,CA,50082,300 or more,22
2015,CA,50084,300 or more,22
2015,CA,50089,300 or more,15
2015,CA,50090,Between 100 and 299,29
2015,CA,50091,300 or more,23
2015,CA,50093,300 or more,31
2015,CA,50096,Fewer than 100,25
2015,CA,50099,300 or more,27
2015,CA,50100,300 or more,31
2015,CA,50101,300 or more,22
2015,CA,50102,300 or more,19
2015,CA,50103,300 or more,29
2015,CA,50104,300 or more,15
2015,CA,50107,300 or more,26
2015,CA,50108,300 or more,28
2015,CA,50110,300 or more,24
2015,CA,50111,Between 100 and 299,21
2015,CA,50112,300 or more,26
2015,CA,50113,300 or more,20
2015,CA,50115,300 or more,31
2015,CA,50116,300 or more,23
2015,CA,50118,300 or more,37
2015,CA,50121,300 or more,18
2015,CA,50122,300 or more,26
2015,CA,50124,Between 100 and 299,34
2015,CA,50125,300 or more,23
2015,CA,50126,Between 100 and 299,20
2015,CA,50127,Between 100 and 299,28
2015,CA,50128,300 or more,27
2015,CA,50129,300 or more,24
2015,CA,50131,300 or more,32
2015,CA,50132,300 or more,19
2015,CA,50133,300 or more,20
2015,CA,50135,300 or more,16
2015,CA,50136,300 or more,27
2015,CA,50137,300 or more,31
2015,CA,50138,300 or more,33
2015,CA,50139,300 or more,26
2015,CA,50140,300 or more,27
2015,CA,50145,300 or more,36
2015,CA,50146,300 or more,33
2015,CA,50149,300 or more,12
2015,CA,50150,300 or more,26
2015,CA,50152,300 or more,22
2015,CA,50153,300 or more,31
2015,CA,50158,Fewer than 100,11
2015,CA,50159,Between 100 and 299,19
2015,CA,50167,300 or more,17
2015,CA,50168,300 or more,29
2015,CA,50169,300 or more,20
2015,CA,50174,300 or more,29
2015,CA,50179,300 or more,16
2015,CA,50180,300 or more,32
2015,CA,50189,Between 100 and 299,17
2015,CA,50191,300 or more,15
2015,CA,50192,Between 100 and 299,16
2015,CA,50194,300 or more,34
2015,CA,50195,300 or more,27
2015,CA,50196,Between 100 and 299,14
2015,CA,50197,300 or more,33
2015,CA,50204,300 or more,22
2015,CA,50205,Fewer than 100,10
2015,CA,50211,300 or more,23
2015,CA,50222,300 or more,25
2015,CA,50224,300 or more,32
2015,CA,50225,300 or more,34
2015,CA,50226,300 or more,19
2015,CA,50228,300 or more,19
2015,CA,50230,300 or more,14
2015,CA,50231,300 or more,43
2015,CA,50232,300 or more,38
2015,CA,50234,300 or more,50
2015,CA,50235,300 or more,26
2015,CA,50236,300 or more,29
2015,CA,50238,300 or more,29
2015,CA,50239,300 or more,19
2015,CA,50242,300 or more,27
2015,CA,50243,300 or more,39
2015,CA,50245,300 or more,18
2015,CA,50248,300 or more,40
2015,CA,50254,300 or more,31
2015,CA,50257,Between 100 and 299,24
2015,CA,50261,300 or more,37
2015,CA,50262,300 or more,28
2015,CA,50272,300 or more,29
2015,CA,50276,300 or more,23
2015,CA,50278,300 or more,23
2015,CA,50279,300 or more,29
2015,CA,50280,300 or more,25
2015,CA,50281,300 or more,20
2015,CA,50283,300 or more,30
2015,CA,50289,300 or more,32
2015,CA,50290,300 or more,33
2015,CA,50291,300 or more,29
2015,CA,50292,300 or more,20
2015,CA,50295,300 or more,18
2015,CA,50296,300 or more,25
2015,CA,50298,300 or more,28
2015,CA,50300,300 or more,35
2015,CA,50301,300 or more,24
2015,CA,50305,300 or more,24
2015,CA,50308,300 or more,27
2015,CA,50309,300 or more,32
2015,CA,50313,300 or more,23
2015,CA,50315,300 or more,14
2015,CA,50320,300 or more,27
2015,CA,50324,300 or more,33
2015,CA,50327,300 or more,21
2015,CA,50329,300 or more,19
2015,CA,50334,300 or more,25
2015,CA,50335,300 or more,31
2015,CA,50336,300 or more,30
2015,CA,50342,300 or more,16
2015,CA,50348,300 or more,23
2015,CA,50350,300 or more,17
2015,CA,50351,300 or more,33
2015,CA,50352,300 or more,28
2015,CA,50353,300 or more,26
2015,CA,50357,300 or more,45
2015,CA,50359,300 or more,18
2015,CA,50360,300 or more,27
2015,CA,50367,300 or more,25
2015,CA,50373,300 or more,19
2015,CA,50376,300 or more,21
2015,CA,50378,Between 100 and 299,23
2015,CA,50380,300 or more,30
2015,CA,50382,300 or more,30
2015,CA,50390,300 or more,23
2015,CA,50393,300 or more,19
2015,CA,50394,300 or more,29
2015,CA,50396,300 or more,36
2015,CA,50397,Fewer than 100,19
2015,CA,50407,300 or more,26
2015,CA,50411,300 or more,27
2015,CA,50414,300 or more,36
2015,CA,50417,300 or more,22
2015,CA,50423,Between 100 and 299,23
2015,CA,50424,300 or more,42
2015,CA,50425,300 or more,38
2015,CA,50426,300 or more,17
2015,CA,50434,Between 100 and 299,24
2015,CA,50435,300 or more,36
2015,CA,50438,300 or more,32
2015,CA,50441,300 or more,32
2015,CA,50444,300 or more,18
2015,CA,50454,300 or more,29
2015,CA,50455,300 or more,24
2015,CA,50457,300 or more,30
2015,CA,50464,300 or more,36
2015,CA,50468,300 or more,20
2015,CA,50471,300 or more,26
2015,CA,50481,300 or more,25
2015,CA,50485,300 or more,25
2015,CA,50488,300 or more,25
2015,CA,50492,300 or more,35
2015,CA,50496,300 or more,33
2015,CA,50498,300 or more,36
2015,CA,50502,300 or more,28
2015,CA,50503,300 or more,32
2015,CA,50506,300 or more,40
2015,CA,50510,300 or more,44
2015,CA,50512,300 or more,29
2015,CA,50515,300 or more,33
2015,CA,50516,300 or more,30
2015,CA,50517,Between 100 and 299,10
2015,CA,50523,300 or more,19
2015,CA,50526,Between 100 and 299,13
2015,CA,50528,Between 100 and 299,18
2015,CA,50534,300 or more,43
2015,CA,50537,300 or more,31
2015,CA,50541,300 or more,35
2015,CA,50543,Fewer than 100,18
2015,CA,50549,300 or more,26
2015,CA,50551,300 or more,37
2015,CA,50557,300 or more,28
2015,CA,50561,300 or more,25
2015,CA,50567,300 or more,30
2015,CA,50568,300 or more,14
2015,CA,50570,300 or more,31
2015,CA,50573,300 or more,36
2015,CA,50575,Between 100 and 299,17
2015,CA,50580,Between 100 and 299,16
2015,CA,50581,300 or more,30
2015,CA,50586,300 or more,17
2015,CA,50588,300 or more,18
2015,CA,50589,300 or more,36
2015,CA,50590,300 or more,31
2015,CA,50597,300 or more,28
2015,CA,50599,300 or more,26
2015,CA,50603,300 or more,33
2015,CA,50604,300 or more,31
2015,CA,50608,300 or more,30
2015,CA,50609,300 or more,32
2015,CA,50616,300 or more,29
2015,CA,50624,300 or more,24
2015,CA,50625,300 or more,24
2015,CA,50633,300 or more,42
2015,CA,50636,300 or more,33
2015,CA,50641,300 or more,25
2015,CA,50663,300 or more,17
2015,CA,50674,300 or more,28
2015,CA,50677,300 or more,37
2015,CA,50678,300 or more,30
2015,CA,50684,300 or more,31
2015,CA,50686,300 or more,28
2015,CA,50688,300 or more,26
2015,CA,50689,300 or more,38
2015,CA,50690,300 or more,35
2015,CA,50696,300 or more,32
2015,CA,50697,Between 100 and 299,54
2015,CA,50701,300 or more,26
2015,CA,50704,300 or more,17
2015,CA,50708,300 or more,61
2015,CA,50709,300 or more,22
2015,CA,50710,300 or more,34
2015,CA,50714,300 or more,40
2015,CA,50717,300 or more,21
2015,CA,50723,300 or more,30
2015,CA,50724,300 or more,28
2015,CA,50726,300 or more,58
2015,CA,50727,300 or more,18
2015,CA,50732,300 or more,39
2015,CA,50735,300 or more,15
2015,CA,50736,300 or more,14
2015,CA,50737,300 or more,19
2015,CA,50738,Between 100 and 299,12
2015,CA,50739,300 or more,18
2015,CA,50740,300 or more,28
2015,CA,50742,300 or more,16
2015,CA,50744,300 or more,35
2015,CA,50745,300 or more,30
2015,CA,50746,300 or more,34
2015,CA,50747,300 or more,34
2015,CA,50748,300 or more,27
2015,CA,50751,Fewer than 100,25
2015,CA,50754,Fewer than 100,49
2015,CA,50755,Between 100 and 299,12
2015,CA,50757,300 or more,18
2015,CA,50758,300 or more,20
2015,CA,50760,300 or more,31
2015,CA,50761,300 or more,25
2015,CA,50763,Between 100 and 299,10
2015,CA,50764,300 or more,27
2015,CA,50765,300 or more,22
2015,CA,50766,Between 100 and 299,49
2015,CA,50767,300 or more,31
2015,CA,50769,300 or more,56
2015,CA,50770,300 or more,26
2015,CA,50771,300 or more,20
2015,CA,50772,300 or more,34
2015,CA,50773,300 or more,20
2015,CA,51301,Fewer than 100,23
2015,CA,51303,Between 100 and 299,35
2015,CA,51304,Fewer than 100,28
2015,CA,51306,Fewer than 100,21
2015,CA,51310,300 or more,35
2015,CA,51316,300 or more,27
2015,CA,51317,Between 100 and 299,16
2015,CA,51319,Between 100 and 299,33
2015,CA,51320,Between 100 and 299,30
2015,CA,51321,Between 100 and 299,35
2015,CA,51324,Between 100 and 299,31
2015,CA,51325,Between 100 and 299,30
2015,CA,51328,Between 100 and 299,35
2015,CA,51329,300 or more,23
2015,CA,51330,Fewer than 100,27
2015,CA,51331,Fewer than 100,36
2015,CA,51332,Between 100 and 299,22
2015,CA,51334,Between 100 and 299,35
2015,CO,60001,300 or more,29
2015,CO,60003,300 or more,31
2015,CO,60004,300 or more,30
2015,CO,60006,300 or more,30
2015,CO,60008,300 or more,21
2015,CO,60009,300 or more,28
2015,CO,60010,300 or more,32
2015,CO,60011,300 or more,24
2015,CO,60012,300 or more,32
2015,CO,60013,300 or more,33
2015,CO,60014,300 or more,32
2015,CO,60015,300 or more,32
2015,CO,60016,300 or more,34
2015,CO,60020,300 or more,25
2015,CO,60022,300 or more,24
2015,CO,60023,300 or more,35
2015,CO,60024,300 or more,25
2015,CO,60027,300 or more,36
2015,CO,60028,300 or more,37
2015,CO,60030,300 or more,28
2015,CO,60031,300 or more,35
2015,CO,60032,300 or more,31
2015,CO,60034,300 or more,31
2015,CO,60036,300 or more,27
2015,CO,60043,Fewer than 100,33
2015,CO,60044,Between 100 and 299,33
2015,CO,60049,300 or more,38
2015,CO,60054,300 or more,37
2015,CO,60064,300 or more,34
2015,CO,60065,300 or more,27
2015,CO,60071,Between 100 and 299,30
2015,CO,60075,300 or more,30
2015,CO,60076,Between 100 and 299,34
2015,CO,60096,300 or more,32
2015,CO,60100,300 or more,31
2015,CO,60103,300 or more,34
2015,CO,60104,300 or more,27
2015,CO,60112,300 or more,33
2015,CO,60113,300 or more,30
2015,CO,60114,300 or more,27
2015,CO,60116,300 or more,35
2015,CO,60117,Between 100 and 299,59
2015,CO,60118,300 or more,34
2015,CO,60119,300 or more,31
2015,CO,60124,300 or more,55
2015,CO,61301,Fewer than 100,29
2015,CO,61302,Fewer than 100,43
2015,CO,61303,Fewer than 100,30
2015,CO,61305,Fewer than 100,28
2015,CO,61309,Fewer than 100,25
2015,CO,61312,Between 100 and 299,39
2015,CO,61313,Fewer than 100,28
2015,CO,61314,Between 100 and 299,27
2015,CO,61315,Fewer than 100,28
2015,CO,61316,Fewer than 100,40
2015,CO,61320,Between 100 and 299,30
2015,CO,61321,Fewer than 100,14
2015,CO,61322,Between 100 and 299,33
2015,CO,61324,Between 100 and 299,32
2015,CO,61325,Fewer than 100,20
2015,CO,61326,Between 100 and 299,35
2015,CO,61327,Between 100 and 299,32
2015,CT,70002,300 or more,31
2015,CT,70003,300 or more,33
2015,CT,70004,300 or more,29
2015,CT,70005,300 or more,26
2015,CT,70006,300 or more,28
2015,CT,70007,300 or more,29
2015,CT,70008,300 or more,32
2015,CT,70010,300 or more,25
2015,CT,70011,300 or more,31
2015,CT,70012,Between 100 and 299,28
2015,CT,70016,300 or more,24
2015,CT,70017,300 or more,27
2015,CT,70018,300 or more,33
2015,CT,70019,300 or more,34
2015,CT,70020,300 or more,35
2015,CT,70021,300 or more,31
2015,CT,70022,300 or more,28
2015,CT,70024,300 or more,32
2015,CT,70025,300 or more,32
2015,CT,70027,300 or more,28
2015,CT,70028,300 or more,25
2015,CT,70029,300 or more,28
2015,CT,70031,300 or more,26
2015,CT,70033,300 or more,30
2015,CT,70034,300 or more,26
2015,CT,70035,300 or more,25
2015,CT,70036,300 or more,28
2015,CT,70039,Fewer than 100,21
2015,CT,70040,Fewer than 100,35
2015,DE,80001,300 or more,27
2015,DE,80003,300 or more,18
2015,DE,80004,300 or more,27
2015,DE,80006,300 or more,25
2015,DE,80007,300 or more,38
2015,DE,80009,300 or more,23
2015,DC,90001,300 or more,22
2015,DC,90003,300 or more,17
2015,DC,90004,300 or more,32
2015,DC,90005,300 or more,34
2015,DC,90006,300 or more,27
2015,DC,90008,300 or more,10
2015,DC,90011,300 or more,30
2015,FL,100001,300 or more,27
2015,FL,100002,300 or more,27
2015,FL,100006,300 or more,18
2015,FL,100007,300 or more,24
2015,FL,100008,300 or more,21
2015,FL,100009,300 or more,20
2015,FL,100012,300 or more,33
2015,FL,100014,300 or more,33
2015,FL,100017,300 or more,30
2015,FL,100018,300 or more,33
2015,FL,100019,300 or more,34
2015,FL,100022,300 or more,22
2015,FL,100023,300 or more,28
2015,FL,100025,300 or more,34
2015,FL,100026,300 or more,32
2015,FL,100028,300 or more,29
2015,FL,100029,300 or more,31
2015,FL,100030,300 or more,18
2015,FL,100032,300 or more,22
2015,FL,100034,300 or more,21
2015,FL,100035,300 or more,26
2015,FL,100038,300 or more,21
2015,FL,100039,300 or more,15
2015,FL,100040,300 or more,28
2015,FL,100043,300 or more,30
2015,FL,100044,300 or more,30
2015,FL,100045,300 or more,27
2015,FL,100046,300 or more,28
2015,FL,100047,300 or more,40
2015,FL,100048,Between 100 and 299,35
2015,FL,100049,300 or more,28
2015,FL,100050,300 or more,20
2015,FL,100051,300 or more,23
2015,FL,100052,300 or more,27
2015,FL,100053,300 or more,33
2015,FL,100054,300 or more,32
2015,FL,100055,300 or more,28
2015,FL,100057,300 or more,28
2015,FL,100062,300 or more,30
2015,FL,100063,300 or more,26
2015,FL,100067,300 or more,27
2015,FL,100068,300 or more,33
2015,FL,100069,300 or more,28
2015,FL,100070,300 or more,41
2015,FL,100071,300 or more,24
2015,FL,100072,300 or more,26
2015,FL,100073,300 or more,29
2015,FL,100075,300 or more,22
2015,FL,100077,300 or more,33
2015,FL,100080,300 or more,28
2015,FL,100081,Between 100 and 299,18
2015,FL,100084,300 or more,34
2015,FL,100086,300 or more,22
2015,FL,100087,300 or more,38
2015,FL,100088,300 or more,23
2015,FL,100090,300 or more,26
2015,FL,100092,300 or more,26
2015,FL,100093,300 or more,34
2015,FL,100099,300 or more,31
2015,FL,100102,300 or more,15
2015,FL,100105,300 or more,27
2015,FL,100106,Between 100 and 299,24
2015,FL,100107,300 or more,24
2015,FL,100109,300 or more,30
2015,FL,100110,300 or more,28
2015,FL,100113,300 or more,23
2015,FL,100117,300 or more,28
2015,FL,100118,300 or more,34
2015,FL,100121,300 or more,26
2015,FL,100122,300 or more,31
2015,FL,100124,300 or more,23
2015,FL,100125,300 or more,13
2015,FL,100126,300 or more,27
2015,FL,100127,300 or more,32
2015,FL,100128,300 or more,26
2015,FL,100130,300 or more,38
2015,FL,100131,300 or more,26
2015,FL,100132,300 or more,23
2015,FL,100135,300 or more,26
2015,FL,100137,300 or more,29
2015,FL,100140,300 or more,23
2015,FL,100142,300 or more,22
2015,FL,100150,300 or more,24
2015,FL,100151,300 or more,35
2015,FL,100154,300 or more,23
2015,FL,100156,300 or more,32
2015,FL,100157,300 or more,26
2015,FL,100161,300 or more,27
2015,FL,100166,300 or more,34
2015,FL,100167,300 or more,25
2015,FL,100168,300 or more,36
2015,FL,100173,300 or more,23
2015,FL,100175,300 or more,32
2015,FL,100176,300 or more,42
2015,FL,100177,300 or more,34
2015,FL,100179,300 or more,28
2015,FL,100180,300 or more,23
2015,FL,100181,Between 100 and 299,11
2015,FL,100183,300 or more,29
2015,FL,100187,300 or more,31
2015,FL,100189,300 or more,27
2015,FL,100191,300 or more,29
2015,FL,100200,300 or more,20
2015,FL,100204,300 or more,31
2015,FL,100206,300 or more,23
2015,FL,100209,300 or more,24
2015,FL,100211,300 or more,30
2015,FL,100212,300 or more,33
2015,FL,100213,300 or more,31
2015,FL,100217,300 or more,38
2015,FL,100220,300 or more,31
2015,FL,100223,300 or more,29
2015,FL,100224,300 or more,27
2015,FL,100226,300 or more,28
2015,FL,100228,300 or more,27
2015,FL,100230,300 or more,24
2015,FL,100231,300 or more,33
2015,FL,100232,300 or more,29
2015,FL,100234,300 or more,26
2015,FL,100236,300 or more,35
2015,FL,100238,300 or more,28
2015,FL,100239,300 or more,28
2015,FL,100240,Fewer than 100,38
2015,FL,100242,300 or more,31
2015,FL,100243,300 or more,27
2015,FL,100244,300 or more,35
2015,FL,100246,300 or more,27
2015,FL,100248,300 or more,30
2015,FL,100249,300 or more,34
2015,FL,100252,300 or more,28
2015,FL,100253,300 or more,27
2015,FL,100254,300 or more,28
2015,FL,100255,300 or more,23
2015,FL,100256,300 or more,29
2015,FL,100258,300 or more,40
2015,FL,100259,300 or more,31
2015,FL,100260,300 or more,31
2015,FL,100264,300 or more,35
2015,FL,100265,300 or more,32
2015,FL,100266,300 or more,41
2015,FL,100267,300 or more,32
2015,FL,100268,300 or more,32
2015,FL,100269,300 or more,25
2015,FL,100275,300 or more,21
2015,FL,100276,300 or more,17
2015,FL,100277,Fewer than 100,12
2015,FL,100281,300 or more,23
2015,FL,100284,300 or more,21
2015,FL,100285,300 or more,21
2015,FL,100286,300 or more,38
2015,FL,100287,300 or more,36
2015,FL,100288,300 or more,35
2015,FL,100289,300 or more,30
2015,FL,100290,300 or more,43
2015,FL,100291,300 or more,28
2015,FL,100292,300 or more,34
2015,FL,100296,300 or more,24
2015,FL,100299,300 or more,34
2015,FL,100302,300 or more,25
2015,FL,100307,300 or more,28
2015,FL,100313,Between 100 and 299,36
2015,FL,100314,300 or more,19
2015,FL,100315,300 or more,44
2015,FL,100316,300 or more,31
2015,FL,100319,300 or more,31
2015,FL,100320,300 or more,30
2015,FL,100321,300 or more,30
2015,FL,101300,Fewer than 100,27
2015,FL,101308,Between 100 and 299,25
2015,FL,101309,Fewer than 100,18
2015,FL,101311,Fewer than 100,21
2015,FL,101312,Between 100 and 299,27
2015,FL,101313,Between 100 and 299,33
2015,GA,110001,300 or more,23
2015,GA,110002,300 or more,22
2015,GA,110003,300 or more,16
2015,GA,110004,300 or more,24
